scan_name,proposed_scan_group,note
1054 Insufficient Packaging,Insufficient packaging. Corrective actions underway,
1055 Damaged,Package damaged in transit,
1417 Denied Party Screening,new__new__Denied Party Screening,new
1419 Incorrectly labelled,new__Labeling error by sender,new
1419 Incorrectly labelled,new__Labeling error by sender,new
1436 MSDS required,MSDS required,
1446 Partial Departed UK Hub,In Transit,
1447 Money,new__new__Money,new
1460 Consignee Instructions - Authorised change of delivery address,Change of delivery address,
1466 Prohibited item,new__new__Prohibited item,new
1487 HS Code Required,Hs code required,
1488 Import License Required,Missing import license required for clearance,
1497 Delivered to postal agent,new__Delivered to collection point or pick-up location,new
1502 USPS in possesion of the item,In Transit,
1505 Accepted at USPS origin facility,Shipment collected,
1510 Partial scanned in RETURNS container,In Transit,
1514 RETURN REQUESTED BY CUSTOMER,Return of the package requested,
1526 Data Exception resolved  Send Next Rotation,,
1543 Clearance Payment not made by Receiver,Awaiting further instructions from receiver,
1545 Customs charges paid by Receiver,Tax payment received,
1550 On hold - see Portal notes,Shipment on hold,
1585 Unidentifiable substance/not packed by manufacturer,new__new__Unidentifiable substance,new
1587 Incorrect Description,new__new__Incorrect Description,new
1588 Shipment Value exceeds service limits,new__new__Shipment Value exceeds service limits,new
1592 Code not found,not_clear,
1613 Code not found,not_clear,
1622 Code not found,not_clear,
1624 Code not found,not_clear,
1646 Code not found,not_clear,
1648 Code not found,not_clear,
613 Code not found,not_clear,
617 Code not found,not_clear,
622 Code not found,not_clear,
626 Code not found,not_clear,
629 Code not found,not_clear,
637 Code not found,not_clear,
644 Code not found,not_clear,
657 RETURNS: Customer to collect,Delivery to pick-up point pending,
660 Piece not received,not_clear,
663 Prepared for export / in transit,In Transit,
670 Flight cancelled,Delay due to flight cancelled or delayed,
673 Late arrival of carrier,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,
682 Destination on holiday,Delivery attempted. Receiver not available for delivery,
693 Waiting for Power of Attorney,Power of attorney documentation missing,
695 Consignee not registered at Customs,Customs clearance in progress,
700 Others,not_clear,
711 Stopped,not_clear,
723 Destination on holiday,Delivery attempted. Receiver not available for delivery,
727 Departed UK facility,Departure Scan,
757 Industrial strikes,Delay due to industrial action,
764 Private address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
765 PO Box address,new__Unable to deliver to PO box.,new
774 Consignee on holiday,new__Delivery attempted. Receiver not available for delivery.,new
786 Consignee did not order the goods,new__Delivery refused.,new
788 Deadlines,not_clear,
843 Shipment inspection,new__Held for inspection by government agency.,new
903 Better Invoice required,new__Additional information or paperwork required for customs clearance.,new
945 Send next rotation - restricted item found,new__Shipment on hold due to restricted items.,new
/,not_clear,
a delay has occurred due to late processing by ups brokerage we are adjusting delivery plans as quickly as possible,new__Delay due to operational reasons.,new
a guaranteed service refund has been requested for this package,new__new__Guaranteed service refund requested.,new
/ a guaranteed service refund has been voided for this package,new__new__Guaranteed service refund voided.,new
