scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
arrived at sort facility-DHL UK-Warehouse Scan,arrived at sort facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit
depart facility-DHL UK-In Transit,depart facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,Departure Scan,Departure Scan,Departure Scan,Departure Scan,Departure Scan,Departure Scan,Departure Scan,Departure Scan
edi invoice and hwb data merge-DHL UK-Internal activity scan,edi invoice and hwb data merge,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan,Internal activity scan
returned to shipper-DHL UK-Returned to sender,returned to shipper,RegEx,9d2bfb98-0f46-4d06-957b-1bd9fef410ab,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Returned to sender,Returned to sender,In Transit,In Transit,In Transit,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender
arrived at delivery facility-DHL UK-Warehouse Scan,arrived at delivery facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot
with delivery courier-DHL UK-Out for delivery,with delivery courier,RegEx,475f6865-4882-4523-8795-9a0d4f8e1d6e,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Out for delivery,Out for delivery,In Transit,In Transit,In Transit,In Transit,Out for delivery,Out for delivery,Out for delivery,Out for delivery
uncontrollable clearance delay-DHL UK-Customs clearance delay,uncontrollable clearance delay,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance delay,Transit delay,Transit delay,Transit delay,Customs clearance delay,Customs clearance delay,Customs clearance delay,Customs clearance delay,Customs clearance delay
transferred through-DHL UK-In Transit,transferred through,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit,In Transit
the shipment is undergoing an inspection from a regulatory authority and is currently on hold-DHL UK-Customs clearance delay,the shipment is undergoing an inspection from a regulatory authority and is currently on hold,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Held for inspection by government agency,Shipment on hold,Shipment on hold,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency
the shipment is pending completion of customs inspection-DHL UK-Customs clearance delay,the shipment is pending completion of customs inspection,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance in progress,Shipment on hold,Shipment on hold,Customs clearance in progress,Customs clearance in progress,Customs clearance in progress,Customs clearance in progress,Customs clearance in progress,Customs clearance in progress
the shipment is on hold as the receiver details are insufficient for delivery-DHL UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,the shipment is on hold as the receiver details are insufficient for delivery,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Shipment on hold,Awaiting further instructions from receiver,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery
the shipment is currently on hold as requested by the shipper or receiver-DHL UK-Shipment on hold after request,the shipment is currently on hold as requested by the shipper or receiver,RegEx,72dba80e-ccf9-4e7e-967b-b04b9ede4ee1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment on hold after request,Shipment on hold after request,Shipment on hold,Shipment on hold,Shipment on hold after request,Shipment on hold after request,Shipment on hold after request,Shipment on hold after request,Shipment on hold after request,Shipment on hold after request
the shipment is currently on hold and awaiting paperwork to continue processing-DHL UK-Additional information required for customs clearance,the shipment is currently on hold and awaiting paperwork to continue processing,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,Shipment on hold,Shipment on hold,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance
the shipment is being held and not expected to be moved or delivered on time due to a force majeure event with weather-DHL UK-Delay due to adverse weather conditions,the shipment is being held and not expected to be moved or delivered on time due to a force majeure event with weather,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Shipment on hold,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions
the shipment has arrived at facility and is awaiting the delivery cycle-DHL UK-Warehouse Scan,the shipment has arrived at facility and is awaiting the delivery cycle,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,Arrival at delivery depot,In Transit,In Transit,In Transit,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot,Arrival at delivery depot
the requested service has changed for assistance please contact dhl-DHL UK-Service not available for this location and will be changed,the requested service has changed for assistance please contact dhl,RegEx,498073f9-9119-4e73-a93d-99a3586ea132,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Service not available for this location and will be changed,Service not available for this location and will be changed,new__New instructions received – We updated the delivery information for your package,new__New instructions received – We updated the delivery information for your package,new__new__service_change_request,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed
